"","X.1","X","Participant.email","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"1",1,1,"Z5HD6R67333FNXK0G1NL","Mental states",0,1,80,15,NA,5,NA,5,NA,10,NA,0,NA,5,NA,5,NA,20,NA,10,NA
"2",2,2,"FU6XZQV6SWS7X4DFS9EY","world",2,1,60,40,NA,50,NA,30,NA,60,NA,50,NA,40,NA,70,NA,40,NA,40,NA
"3",3,3,"LQDTMY1AC9CQ1ZTITQNG","mental states",3,2,70,20,NA,50,NA,20,NA,10,NA,10,NA,10,NA,20,NA,5,NA,30,NA
"4",4,4,"00II5SSMESCCNOIW5C1Z","World",1,1,50,60,NA,63,NA,38,NA,65,NA,75,NA,70,NA,73,NA,70,NA,80,NA
"5",5,5,"QZ6YSTRKXT5SVERTTA8H","mental states",3,2,0,25,NA,50,NA,30,NA,50,NA,60,NA,30,NA,40,NA,30,NA,40,NA
"6",6,6,"JOCHDFHLX0EOUOW7PAJ3","mental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,7,"S4CAL92NJNH9MRY68I1G","world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,8,"I267UTJISA6HZU4LXHZH","world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,9,"T2UJ0HO2U8P7M2THGEDS","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,10,"34SLY6609CEAIBE05T41","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,11,"N8RKP5A0869G4FOC7DJ5","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,12,"FXH80OLMHXVVVBGR2PHJ","control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
