"","H1","MS-World Mean","MS-World BF","MS-World RR","World-Waitlist Mean","World-Waitlist BF","World-Waitlist RR","MS-Waitlist Mean","MS-Waitlist BF","MS-Waitlist RR"
"TMS-D","0.2","0.38 (0.46)","1.22","[0, 3.04]","0.62 (0.47)","1.46","[0, >5]","1 (0.48)","1.88","[0, 0.37]"
"Observe 1st","0.2","-0.58 (0.31)","0.47","[0, 0.32]","0.92 (0.23)","12.82","[0.1, >5]","0.34 (0.26)","1.71","[0, 3.29]"
"Observe 2nd","0.2","-0.7 (0.23)","0.32","[0.2, >5]","0.97 (0.3)","4.84","[0.15, >5]","0.26 (0.24)","1.48","[0, 2.21]"
"PHQ-8","0.2","-0.85 (0.38)","2.35","[0, 0.26]","-0.05 (0.22)","0.84","[0, 0.76]","-0.9 (0.39)","2.36","[0, 0.26]"
"GAD-7","0.2","-0.03 (0.37)","0.9","[0, 1.12]","0.13 (0.42)","0.81","[0, 0.93]","0.1 (0.32)","0.74","[0, 0.7]"
"RRS","0.2","-0.2 (0.3)","1.15","[0, 1.64]","0.08 (0.16)","0.47","[0, 0.31]","-0.13 (0.27)","1.03","[0, 1.2]"
"WBSI","0.2","-0.03 (0.29)","0.86","[0, 0.89]","-0.08 (0.24)","0.92","[0, 0.92]","-0.12 (0.2)","1.03","[0, 1.01]"
"Accuracy","0.05","-0.07 (0.07)","0.55","[0, 0.1]","0.07 (0.12)","1.12","[0, 0.59]","0 (0.1)","0.89","[0, 0.28]"
"Adj. d'","0.16","-0.01 (0.17)","0.7","[0, 0.45]","0.06 (0.26)","0.94","[0, 0.9]","0.05 (0.31)","0.94","[0, 1.01]"
"Adj. type-2 d'","0.16","0.29 (0.31)","1.3","[0, 2.35]","-0.14 (0.48)","0.88","[0, 1.07]","-0.25 (0.41)","0.78","[0, 0.74]"
"Adj. meta-d'","0.57","0.18 (0.33)","0.76","[0, 1.57]","-0.3 (0.46)","0.44","[0, 0.81]","-0.59 (0.54)","0.41","[0, 0.75]"
"HM-ratio","0.45","0.26 (0.23)","1.28","[0, 2.26]","-0.45 (0.28)","0.25","[0.32, >5]","-0.19 (0.16)","0.17","[0.22, >5]"
