"","condition_pre","feedback_post","authentic_post","authentic_3_TEXT_post","useful_post","useful_4_TEXT_post"
"71099","world","","1","","5",""
"71695","world","","2,3","repetitiveonwhatwasasked","1",""
"29812","mental",NA,NA,NA,NA,NA
"44428","world","","1,2","","5",""
"16308","world","","1","","5,4","Ifeellikeitismoreusefulforpeoplewhoismorecalmandpeaceful."
"66499","world",NA,NA,NA,NA,NA
"41843","world",NA,NA,NA,NA,NA
"30688","world",NA,NA,NA,NA,NA
"84057","mental","","1","","5",""
"57061","world","","1","","5",""
"38134","world",NA,NA,NA,NA,NA
"72267","world",NA,NA,NA,NA,NA
"11845","mental",NA,NA,NA,NA,NA
"35388","mental","Generally very nice to do thanks.","1","","1",""
"88960","world","","1","","1",""
"82399","mental",NA,NA,NA,NA,NA
"14132","mental","","1","","5",""
"62968","world","","1","","1",""
"24543","world",NA,NA,NA,NA,NA
"96031","mental",NA,NA,NA,NA,NA
"31134","world","","1","","1",""
"46305","mental","","1","","5",""
"29633","world",NA,NA,NA,NA,NA
"35717","mental","","3","It. was. a..mix","5",""
"69898","world","","1","","1",""
"95163","world",NA,NA,NA,NA,NA
"52494","mental","","2","","5",""
"69899","mental","","1","","5",""
"79514","mental","","1","","5",""
"12910","mental",NA,NA,NA,NA,NA
"96959","world","","1","","5",""
"33810","mental","","1","","2",""
"16005","mental","","1","","1",""
"78650","mental",NA,NA,NA,NA,NA
"37680","world","","1","","2",""
"28335","world","","1","","5",""
"17091","world",NA,NA,NA,NA,NA
