"","TMS-D","Accuracy","d'","Type-2 d'","Type-2 d' (rs)","HM-ratio"
"TMS-D",1,0.03,-0.01,0.06,0.1,0.08
"GAD-7",-0.2,0.11,0.07,0.05,0.06,0.04
"PHQ-8",-0.06,0.09,0.22,-0.01,0.06,-0.03
"Observe 1st",0.09,0.05,0.11,-0.11,-0.14,-0.01
"Observe 2nd",-0.04,-0.02,0.13,-0.09,-0.07,-0.06
"RRS",-0.01,0.15,0.28,-0.01,0.04,0.07
"WBSI",-0.09,0.01,0.18,0.01,0.04,-0.01
"N Breath",-0.01,-0.02,0.03,0.13,0.1,0.02
"N Reset",0.08,-0.03,0.05,-0.18,-0.2,-0.06
"Accuracy",0.03,1,0.7,0.18,0.07,0.19
"d'",-0.01,0.7,1,-0.03,-0.05,0.08
"Type-2 d'",0.06,0.18,-0.03,1,0.97,0.26
"Type-2 d' (rs)",0.1,0.07,-0.05,0.97,1,0.23
"HM-ratio",0.08,0.19,0.08,0.26,0.23,1
